SegmentID,X1,Y1,X2,Y2,X3,Y3,MinSpeed1,MaxSpeed1,MinSpeed2,MaxSpeed2,MinSpeed3,MaxSpeed3
1,109.106307302,11.8098651273,0,0,0,0,0,70,0,0,0,0
1,0,0,109.106231187,11.8099177361,0,0,0,0,0,70,0,0
1,0,0,0,0,109.106269245,11.8098914317,0,0,0,0,0,70
2,109.105962643,11.8095347676,0,0,0,0,0,70,0,0,0,0
2,0,0,109.106034557,11.8094757935,0,0,0,0,0,70,0,0
2,0,0,0,0,109.1059986,11.8095052805,0,0,0,0,0,70
3,109.106220083,11.8097348552,0,0,0,0,0,70,0,0,0,0
3,0,0,109.106144732,11.809787302,0,0,0,0,0,70,0,0
3,0,0,0,0,109.106182408,11.8097610786,0,0,0,0,0,70
3,109.106220083,11.8097348552,0,0,0,0,0,70,0,0,0,0
1,0,0,109.106307302,11.8098651273,0,0,0,0,0,70,0,0
4,0,0,0,0,109.106263692,11.8097999913,0,0,0,0,0,70
2,109.106034557,11.8094757935,0,0,0,0,0,70,0,0,0,0
3,0,0,109.106220083,11.8097348552,0,0,0,0,0,70,0,0
5,0,0,0,0,109.10612732,11.8096053243,0,0,0,0,0,70
1,109.106231187,11.8099177361,0,0,0,0,0,70,0,0,0,0
3,0,0,109.106144732,11.809787302,0,0,0,0,0,70,0,0
6,0,0,0,0,109.10618796,11.809852519,0,0,0,0,0,70
3,109.106144732,11.809787302,0,0,0,0,0,70,0,0,0,0
2,0,0,109.105962643,11.8095347676,0,0,0,0,0,70,0,0
7,0,0,0,0,109.106053688,11.8096610348,0,0,0,0,0,70
8,109.109214213,11.8188242776,0,0,0,0,0,70,0,0,0,0
8,0,0,109.109711967,11.8232255391,0,0,0,0,0,70,0,0
8,0,0,0,0,109.109585194,11.8210094141,0,0,0,0,0,70
9,109.108936225,11.8173784992,0,0,0,0,0,70,0,0,0,0
8,0,0,109.109214213,11.8188242776,0,0,0,0,0,70,0,0
9,0,0,0,0,109.108998169,11.8181146425,0,0,0,0,0,70
10,109.108942214,11.8171721405,0,0,0,0,0,70,0,0,0,0
9,0,0,109.108936225,11.8173784992,0,0,0,0,0,70,0,0
10,0,0,0,0,109.10893922,11.8172753198,0,0,0,0,0,70
11,109.108941603,11.8169672479,0,0,0,0,0,70,0,0,0,0
10,0,0,109.108942214,11.8171721405,0,0,0,0,0,70,0,0
11,0,0,0,0,109.108941909,11.8170696942,0,0,0,0,0,70
12,109.108753452,11.815896857,0,0,0,0,0,70,0,0,0,0
11,0,0,109.108941603,11.8169672479,0,0,0,0,0,70,0,0
12,0,0,0,0,109.108912536,11.8164198414,0,0,0,0,0,70
13,109.109624503,11.8232312428,0,0,0,0,0,70,0,0,0,0
13,0,0,109.109346294,11.8197421316,0,0,0,0,0,70,0,0
13,0,0,0,0,109.10953038,11.8214824945,0,0,0,0,0,70
13,109.109346294,11.8197421316,0,0,0,0,0,70,0,0,0,0
14,0,0,109.109024647,11.8184860713,0,0,0,0,0,70,0,0
14,0,0,0,0,109.109210191,11.8191077551,0,0,0,0,0,70
14,109.109024647,11.8184860713,0,0,0,0,0,70,0,0,0,0
15,0,0,109.108952288,11.8182522979,0,0,0,0,0,70,0,0
15,0,0,0,0,109.108988468,11.8183691846,0,0,0,0,0,70
15,109.108952288,11.8182522979,0,0,0,0,0,70,0,0,0,0
16,0,0,109.108857145,11.8171657675,0,0,0,0,0,70,0,0
16,0,0,0,0,109.108852815,11.8177141466,0,0,0,0,0,70
16,109.108857145,11.8171657675,0,0,0,0,0,70,0,0,0,0
17,0,0,109.108857145,11.8168683939,0,0,0,0,0,70,0,0
17,0,0,0,0,109.108857145,11.8170170807,0,0,0,0,0,70
17,109.108857145,11.8168683939,0,0,0,0,0,70,0,0,0,0
18,0,0,109.108791104,11.8162341385,0,0,0,0,0,70,0,0
18,0,0,0,0,109.108835771,11.8165497755,0,0,0,0,0,70
18,109.108791104,11.8162341385,0,0,0,0,0,70,0,0,0,0
19,0,0,109.108662014,11.815920871,0,0,0,0,0,70,0,0
19,0,0,0,0,109.108730329,11.8160759307,0,0,0,0,0,70
16,109.108857145,11.8171657675,0,0,0,0,0,70,0,0,0,0
10,0,0,109.108942214,11.8171721405,0,0,0,0,0,70,0,0
